distance_to_city_center,hotel_address,hotel_link,hotel_name,image_link,lowest_price_per_night,lowest_seller,major_price_per_night,major_seller,major_total_price,minor_price_per_night,minor_seller,minor_total_price,num_of_ratings,num_of_stars,rating
0.3 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=15173620/100&hasList=1&hasMap=0&sharedcid=15173620&tab=info,NH Collection Roma Fori Imperiali,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/17/15173620_v4.jpeg",305,Agoda,341,NH Collection,1364,341,Booking.com,1364,44,5,8.9
1.2 miles to St Peters Basilica,"Via Pio IV 6, 00165, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17195/100&hasList=1&hasMap=0&sharedcid=17195&tab=info,NH Roma Villa Carpegna,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/19/17195_v5.jpeg",106,Agoda,122,NH Hotels,487,341,Booking.com,1364,2735,4,8.9
1.0 miles to Colosseum,"Piazza della Rotonda 73, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17023/100&hasList=1&hasMap=0&sharedcid=17023&tab=info,Hotel Albergo Del Senato,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/02/17023_v10.jpeg",130,Hotel Website,130,Hotel Website,519,341,Booking.com,1364,1999,3,8.9
0.9 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=45317/100&hasList=1&hasMap=0&sharedcid=45317&tab=info,Anantara Palazzo Naiadi Rome Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/31/45317_v5.jpeg",360,Anantara Hotels Resorts Spas,360,Anantara Hotels Resorts Spas,1438,341,Booking.com,1364,911,5,8.9
0.7 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16924/100&hasList=1&hasMap=0&sharedcid=16924&tab=info,California,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/92/16924_v7.jpeg",85,Agoda,87,Booking.com,346,341,Booking.com,1364,1395,3,8.9
0.9 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=4897876/100&hasList=1&hasMap=0&sharedcid=4897876&tab=info,NH Collection Palazzo Cinquecento,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/48/97/4897876_v2.jpeg",205,Stayforlong,224,NH Collection,896,341,Booking.com,1364,1321,5,8.9
3.6 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17466/100&hasList=1&hasMap=0&sharedcid=17466&tab=info,Quality Hotel Rouge et Noir,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/46/17466_v9.jpeg",24,BookingBargains,45,Booking.com,180,341,Booking.com,1364,2324,4,8.9
1.0 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17236/100&hasList=1&hasMap=0&sharedcid=17236&tab=info,The St. Regis Rome,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/23/17236_v8.jpeg",508,Booking.com,508,Booking.com,2033,341,Booking.com,1364,925,5,8.9
1.3 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17273/100&hasList=1&hasMap=0&sharedcid=17273&tab=info,Marcella Royal Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/27/17273_v9.jpeg",88,Stayforlong,102,Booking.com,408,341,Booking.com,1364,3861,4,8.9
1.0 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=5529940/100&hasList=1&hasMap=0&sharedcid=5529940&tab=info,Hotel 87 EightySeven,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/55/29/5529940_v1.jpeg",72,Agoda,77,Booking.com,307,341,Booking.com,1364,1198,4,8.9
1.0 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=3809738/100&hasList=1&hasMap=0&sharedcid=3809738&tab=info,La Residenza Del Sole Al Pantheon,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/38/09/3809738_v2.jpeg",200,Expedia,222,Hotel Website,887,341,Booking.com,1364,124,,8.9
1.1 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=5070118/100&hasList=1&hasMap=0&sharedcid=5070118&tab=info,Fendi Private Suites,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/50/70/5070118.jpeg",704,Hotels.com,775,Hotel Website,3099,341,Booking.com,1364,133,,8.9
1.8 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=11261528/100&hasList=1&hasMap=0&sharedcid=11261528&tab=info,San Giovanni Roma,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/11/26/11261528_v3.jpeg",75,Stayforlong,118,Booking.com,471,341,Booking.com,1364,141,4,8.9
0.8 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17432/100&hasList=1&hasMap=0&sharedcid=17432&tab=info,"Radisson Blu es. Hotel, Rome","https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/43/17432_v8.jpeg",125,Stayforlong,125,Stayforlong,502,341,Booking.com,1364,1993,5,8.9
0.0 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=18069790/100&hasList=1&hasMap=0&sharedcid=18069790&tab=info,Stay Lodge Rome,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/18/06/18069790_v2.jpeg",56,Booking.com,56,Booking.com,224,341,Booking.com,1364,7,,8.9
1.8 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17006/100&hasList=1&hasMap=0&sharedcid=17006&tab=info,Crowne Plaza Rome - St. Peter's,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/00/17006_v14.jpeg",106,Stayforlong,120,Booking.com,481,341,Booking.com,1364,3729,4,8.9
0.7 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=3229758/100&hasList=1&hasMap=0&sharedcid=3229758&tab=info,Vaticano Royal Suite,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/32/29/3229758_v2.jpeg",75,Stayforlong,75,Stayforlong,298,341,Booking.com,1364,76,,8.9
0.3 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=5795326/100&hasList=1&hasMap=0&sharedcid=5795326&tab=info,Rocco Forte Hotel De La Ville,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/57/95/5795326_v1.jpeg",590,Stayforlong,605,Hotelwiz,2420,341,Booking.com,1364,32,5,8.9
1.1 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=4896296/100&hasList=1&hasMap=0&sharedcid=4896296&tab=info,Le Coq Rooms&Suite,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/48/96/4896296_v1.jpeg",61,Expedia,76,Booking.com,303,341,Booking.com,1364,70,,8.9
0.3 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17024/100&hasList=1&hasMap=0&sharedcid=17024&tab=info,Hotel Della Conciliazione,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/02/17024_v9.jpeg",114,ZenHotels.com,129,Booking.com,515,341,Booking.com,1364,969,4,8.9
0.8 miles to St Peters Basilica,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17193/100&hasList=1&hasMap=0&sharedcid=17193&tab=info,NH Collection Roma Centro,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/19/17193_v16.jpeg",94,Agoda,136,NH Collection,545,341,Booking.com,1364,1247,,8.9
0.6 miles to Colosseum,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17146/100&hasList=1&hasMap=0&sharedcid=17146&tab=info,Hotel Giolli Nazionale,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/14/17146_v13.jpeg",109,Stayforlong,120,Booking.com,479,341,Booking.com,1364,348,4,8.9
